raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
915,1.0,interlagos,brazil,light,5.0,-0.5382063928062505,-1.088570662445386,-0.030865110868347,857.5,-1.0463361019738564,-0.0459832714078497
916,3.0,yas-marina,united-arab-emirates,none,5.0,-0.4970454839817336,-1.074016098474362,-0.0383416020196079,908.0,-0.7520178285686275,-0.0100437038822173
917,4.0,melbourne,australia,none,7.0,0.0759417454920336,-0.8499721375029007,-0.0308825230769229,0.0,-0.3930683662197802,0.053786081420591
918,4.0,sepang,malaysia,moderate,7.0,0.0054755735079997,0.2647736968335766,-0.0321151681114552,50.5,-0.8692132750911593,-0.0519341215921916
919,3.0,shanghai,china,none,6.0,-0.026343974801318,-1.0004356270887138,-0.0089350393391808,101.0,-1.1126053534210525,0.0387815904291204
920,2.0,bahrain,bahrain,none,7.0,-0.0581635231106358,-0.8859091040943016,-0.0131006069625042,151.5,-0.442050822882697,-0.0195868321694617
921,2.0,catalunya,spain,none,5.0,-0.0899830714199536,-0.8100239809513285,-0.0172054641470588,202.0,-0.5026847228614552,-0.0096594942268803
922,3.0,monaco,monaco,light,7.0,-0.1218026197292714,-0.7279255811658855,-0.0199391210526316,252.5,-0.6847704613157896,-0.022324670306879
923,3.0,montreal,canada,none,6.0,-0.1536221680385892,-0.6498847197943735,-0.0123344758421052,303.0,-0.8379542382105263,-0.0294004800381263
924,6.0,spielberg,austria,light,7.0,-0.185441716347907,-0.6582705719300632,-0.0242465149064324,353.5,-1.1124018118070176,-0.0706567815847108
925,6.0,silverstone,united-kingdom,light,6.0,-0.2172612646572248,-0.301259298099957,-0.0168337412076022,404.0,-0.5654252889210527,-0.0654456521670038
926,4.0,hungaroring,hungary,none,6.0,-0.2490808129665426,-0.3664298639981835,-0.014241353078431,454.5,-1.051954160090815,-0.0082534709011621
927,3.0,spa-francorchamps,belgium,heavy,7.0,-0.2809003612758604,-1.1586168576111162,-0.0281618573168216,505.0,-0.6285641409563124,-0.0175825224360013
